sensor,segment,timestamp,actual,pred,p10,p90
6879,forecast,2026-02-27 04:00:00,93.0,92.0,27.375,189.0
6879,forecast,2026-02-27 05:00:00,114.0,119.0,17.75,247.0
6879,forecast,2026-02-27 06:00:00,324.0,274.0,101.5,732.0
6879,forecast,2026-02-27 07:00:00,1758.0,1032.0,450.0,1808.0
6879,forecast,2026-02-27 08:00:00,2235.0,2040.0,1408.0,2512.0
6879,forecast,2026-02-27 09:00:00,1608.0,1944.0,1544.0,2320.0
6879,forecast,2026-02-27 10:00:00,1404.0,1424.0,1192.0,1672.0
6879,forecast,2026-02-27 11:00:00,1431.0,1408.0,1224.0,1616.0
6879,forecast,2026-02-27 12:00:00,1473.0,1528.0,1360.0,1720.0
6879,forecast,2026-02-27 13:00:00,1647.0,1808.0,1584.0,2024.0
6879,forecast,2026-02-27 14:00:00,2397.0,2240.0,1976.0,2464.0
6879,forecast,2026-02-27 15:00:00,2280.0,2176.0,1944.0,2432.0
6879,forecast,2026-02-27 16:00:00,1779.0,1800.0,1584.0,2032.0
6879,forecast,2026-02-27 17:00:00,1770.0,1824.0,1600.0,2096.0
6879,forecast,2026-02-27 18:00:00,1764.0,1768.0,1512.0,2064.0
6879,forecast,2026-02-27 19:00:00,1452.0,1656.0,1368.0,1968.0
6879,forecast,2026-02-27 20:00:00,1548.0,1568.0,1280.0,1848.0
6879,forecast,2026-02-27 21:00:00,1347.0,1304.0,1080.0,1552.0
6879,forecast,2026-02-27 22:00:00,1074.0,944.0,760.0,1144.0
6879,forecast,2026-02-27 23:00:00,669.0,700.0,576.0,860.0
6879,forecast,2026-02-28 00:00:00,507.0,524.0,412.0,632.0
6879,forecast,2026-02-28 01:00:00,381.0,382.0,310.0,474.0
6879,forecast,2026-02-28 02:00:00,324.0,286.0,222.0,356.0
6879,forecast,2026-02-28 03:00:00,213.0,226.0,163.0,274.0
6879,forecast,2026-02-28 04:00:00,219.0,180.0,128.0,243.0
6879,forecast,2026-02-28 05:00:00,177.0,163.0,101.5,222.0
6879,forecast,2026-02-28 06:00:00,159.0,172.0,101.5,255.0
6879,forecast,2026-02-28 07:00:00,330.0,255.0,154.0,390.0
6879,forecast,2026-02-28 08:00:00,495.0,552.0,436.0,716.0
6879,forecast,2026-02-28 09:00:00,807.0,824.0,692.0,1000.0
6879,forecast,2026-02-28 10:00:00,1023.0,1020.0,876.0,1192.0
6879,forecast,2026-02-28 11:00:00,1440.0,1312.0,1128.0,1536.0
6879,forecast,2026-02-28 12:00:00,1599.0,1464.0,1232.0,1736.0
6879,forecast,2026-02-28 13:00:00,1686.0,1576.0,1328.0,1848.0
6879,forecast,2026-02-28 14:00:00,1647.0,1640.0,1408.0,1920.0
6879,forecast,2026-02-28 15:00:00,1275.0,1264.0,1088.0,1520.0
6879,forecast,2026-02-28 16:00:00,1059.0,1120.0,940.0,1360.0
6879,forecast,2026-02-28 17:00:00,1044.0,1328.0,1136.0,1576.0
6879,forecast,2026-02-28 18:00:00,1608.0,1672.0,1424.0,1944.0
6879,forecast,2026-02-28 19:00:00,1881.0,1736.0,1464.0,2032.0
6879,forecast,2026-02-28 20:00:00,1830.0,1656.0,1392.0,1936.0
6879,forecast,2026-02-28 21:00:00,1245.0,1336.0,1160.0,1560.0
6879,forecast,2026-02-28 22:00:00,849.0,992.0,864.0,1136.0
6879,forecast,2026-02-28 23:00:00,921.0,832.0,716.0,976.0
6680,history,2026-02-22 00:00:00,2328.0,,,
6680,history,2026-02-22 01:00:00,1481.5,,,
6680,history,2026-02-22 02:00:00,903.5,,,
